"date2","NEUIL","RUR.SE"
2014-11-03,42,70
2014-11-04,51,62
2014-11-05,31,51
2014-11-06,36,62
2014-11-07,58,72
2014-11-08,40,67
2014-11-09,32,51
2014-11-10,33,66
2014-11-11,60,66
2014-11-12,57,64
2014-11-13,31,54
2014-11-14,24,41
2014-11-15,36,60
2014-11-16,34,67
2014-11-17,41,60
2014-11-18,32,46
2014-11-19,10,23
2014-11-20,15,21
2014-11-21,2,15
2014-11-22,4,32
2014-11-23,27,35
2014-11-24,49,51
2014-11-25,15,20
2014-11-26,1,15
2014-11-27,10,34
2014-11-28,9,32
2014-11-29,4,13
2014-11-30,0,9
2014-12-01,1,10
2014-12-02,3,3
2014-12-03,9,9
2014-12-04,0,4
2014-12-05,1,4
2014-12-06,37,49
2014-12-07,26,49
2014-12-08,26,53
2014-12-09,29,32
2014-12-10,52,62
2014-12-11,54,64
2014-12-12,63,67
2014-12-13,53,59
2014-12-14,19,48
2014-12-15,27,41
2014-12-16,38,38
2014-12-17,48,57
2014-12-18,47,62
2014-12-19,58,63
2014-12-20,54,68
2014-12-21,51,73
2014-12-22,67,72
2014-12-23,48,51
2014-12-24,47,65
2014-12-25,50,59
2014-12-26,41,59
2014-12-27,63,71
2014-12-28,41,53
2014-12-29,23,43
2014-12-30,26,37
2014-12-31,43,75
2015-01-01,50,64
2015-01-02,44,47
2015-01-03,44,58
2015-01-04,54,74
2015-01-05,11,42
2015-01-06,5,28
2015-01-07,17,36
2015-01-08,49,74
2015-01-09,55,66
2015-01-10,59,74
2015-01-11,60,74
2015-01-12,60,66
2015-01-13,56,65
2015-01-14,64,72
2015-01-15,62,74
2015-01-16,45,72
2015-01-17,38,51
2015-01-18,33,68
2015-01-19,26,20
2015-01-20,21,37
2015-01-21,18,50
2015-01-22,9,14
2015-01-23,14,24
2015-01-24,55,68
2015-01-25,31,62
2015-01-26,44,60
2015-01-27,37,55
2015-01-28,58,80
2015-01-29,68,105
2015-01-30,56,108
2015-01-31,44,72
2015-02-01,49,62
2015-02-02,53,74
2015-02-03,38,73
2015-02-04,38,78
2015-02-05,46,77
2015-02-06,27,54
2015-02-07,43,63
2015-02-08,61,76
2015-02-09,25,42
2015-02-10,35,62
2015-02-11,34,54
2015-02-12,5,63
2015-02-13,51,81
2015-02-14,54,79
2015-02-15,43,63
2015-02-16,38,38
2015-02-17,32,50
2015-02-18,20,48
2015-02-19,40,63
2015-02-20,58,77
2015-02-21,60,76
2015-02-22,67,78
2015-02-23,73,87
2015-02-24,61,82
2015-02-25,45,62
2015-02-26,75,80
2015-02-27,70,81
2015-11-01,8,61
2015-11-02,5,34
2015-11-03,25,60
2015-11-04,49,63
2015-11-16,44,65
2015-11-17,54,60
2015-11-18,59,65
2015-11-19,55,57
2015-12-03,23,33
2015-12-04,52,64
2015-12-07,7,62
2015-12-08,32,47
2015-12-09,38,46
2015-12-10,29,46
2015-12-11,26,46
2015-12-12,40,56
2015-12-13,45,50
2015-12-14,29,35
2015-12-22,39,60
2015-12-23,50,63
2015-12-24,32,53
2015-12-28,11,44
2015-12-29,49,70
2015-12-30,28,64
2015-12-31,53,65
2016-01-01,34,50
2016-01-02,52,68
2016-01-03,54,63
2016-01-04,54,65
2016-01-05,46,69
2016-01-06,40,57
2016-01-07,66,84
2016-01-08,43,40
2016-01-09,57,77
2016-01-10,67,79
2016-01-11,56,79
2016-01-12,56,71
2016-01-13,59,64
2016-01-14,48,72
2016-01-15,49,69
2016-01-16,41,60
2016-01-17,29,45
2016-01-18,35,56
2016-01-19,0,39
2016-01-20,0,21
2016-01-21,8,48
2016-01-22,7,34
2016-01-23,32,60
2016-01-24,11,42
2016-01-25,21,53
2016-01-26,6,28
2016-01-27,37,66
2016-01-28,59,74
2016-01-29,44,68
2016-01-30,60,79
2016-01-31,59,73
2016-02-01,66,72
2016-02-02,59,72
2016-02-03,57,78
2016-02-04,41,58
2016-02-05,44,61
2016-02-06,61,76
2016-02-07,75,86
2016-02-08,70,84
2016-02-09,65,84
2016-02-10,69,79
2016-02-11,47,62
2016-02-12,45,57
2016-02-13,50,84
2016-02-14,43,68
2016-02-15,47,60
2016-02-16,38,61
2016-02-17,22,58
2016-02-18,27,55
2016-02-19,54,75
2016-02-20,60,70
2016-02-21,63,71
2016-02-22,65,74
2016-02-23,63,82
2016-11-01,24,23
2016-11-02,55,58
2016-11-03,23,62
2016-11-04,17,25
2016-11-05,67,64
2016-11-06,53,69
2016-11-07,37,33
2016-11-09,41,72
2016-11-10,45,61
2016-11-11,44,56
2016-11-12,14,39
2016-11-13,33,38
2016-11-14,10,46
2016-11-15,11,24
2016-11-16,39,56
2016-11-17,51,68
2016-11-18,70,76
2016-11-19,58,75
2016-11-20,61,68
2016-11-21,54,72
2016-11-22,58,66
2016-11-23,16,43
2016-11-24,5,21
2016-11-25,4,27
2016-11-26,2,14
2016-11-27,46,65
2016-11-28,35,66
2016-11-29,27,52
2016-11-30,7,33
2016-12-01,3,26
2016-12-02,0,9
2016-12-03,29,58
2016-12-23,36,57
2016-12-24,42,64
2016-12-25,50,64
2016-12-26,57,60
2016-12-27,18,67
2016-12-28,11,53
2017-01-02,9,43
2017-01-03,16,44
2017-01-04,32,42
2017-01-05,36,52
2017-01-06,28,56
2017-01-07,17,47
2017-01-08,10,58
2017-01-09,38,49
2017-01-10,43,69
2017-01-11,50,77
2017-01-12,61,75
2017-01-13,60,74
2017-01-16,20,49
2017-01-17,5,30
2017-01-18,26,58
2017-01-19,21,52
2017-01-20,18,40
2017-01-21,7,48
2017-01-22,13,49
2017-01-23,2,29
2017-01-24,12,16
2017-01-25,24,47
2017-01-26,25,38
2017-01-27,38,78
2017-01-28,44,74
2017-01-29,37,73
2017-01-30,53,68
2017-01-31,28,44
2017-02-01,16,45
2017-02-02,57,71
2017-02-03,61,82
2017-02-04,53,71
2017-02-07,61,85
2017-02-08,28,45
2017-02-09,23,69
2017-02-10,27,36
2017-02-11,12,36
2017-02-12,12,51
2017-02-13,33,50
2017-02-14,20,32
2017-02-15,54,87
2017-02-16,24,31
2017-02-17,21,62
2017-02-18,45,76
2017-02-19,54,67
2017-02-20,61,58
2017-02-21,45,54
2017-02-22,57,71
2017-02-23,69,79
2017-02-24,63,73
2017-02-27,85,92
2017-02-28,83,92
2017-11-02,32,33
2017-11-03,30,68
2017-11-04,50,69
2017-11-05,47,60
2017-11-06,47,64
2017-11-07,32,57
2017-11-08,31,33
2017-11-09,26,24
2017-11-10,25,37
2017-11-14,37,34
2017-11-15,7,45
2017-11-16,6,22
2017-11-17,1,12
2017-11-20,29,52
2017-11-29,26,54
2017-11-30,37,40
2017-12-04,18,33
2017-12-12,19,51
2017-12-13,64,74
2017-12-14,80,91
2017-12-15,62,72
2017-12-16,50,58
2017-12-17,27,48
2017-12-18,36,52
2017-12-20,7,28
2017-12-21,12,43
2017-12-22,9,46
2017-12-23,43,56
2017-12-24,41,61
2017-12-25,56,53
2017-12-26,57,73
2017-12-27,61,75
2017-12-28,44,56
2017-12-29,64,84
2017-12-30,62,70
2017-12-31,76,84
2018-01-01,75,90
2018-01-02,62,71
2018-01-03,76,83
2018-01-04,60,83
2018-01-05,71,80
2018-01-06,52,65
2018-01-07,30,61
2018-01-08,15,34
2018-01-09,35,51
2018-01-10,35,59
2018-01-11,32,49
2018-01-12,29,31
2018-01-13,21,36
2018-01-14,27,54
2018-01-15,61,71
2018-01-16,66,82
2018-01-19,57,80
2018-01-20,57,80
2018-01-21,54,74
2018-01-22,57,71
2018-01-23,58,73
2018-01-24,46,60
2018-01-25,65,83
2018-01-26,43,68
2018-01-27,34,48
2018-01-28,35,49
2018-01-30,42,57
2018-01-31,67,84
2018-02-01,64,75
2018-02-02,45,64
2018-02-03,33,53
2018-02-04,48,57
2018-02-05,28,42
2018-02-06,21,24
2018-02-07,30,28
2018-02-08,22,52
2018-02-09,22,28
2018-02-12,31,72
2018-02-13,48,76
2018-02-14,44,67
2018-02-15,48,83
2018-02-16,47,84
2018-02-19,7,67
2018-02-20,43,73
2018-02-21,41,52
2018-02-22,58,76
2018-02-23,46,70
2018-02-24,58,79
2018-02-25,62,82
2018-02-26,62,81
2018-02-27,49,65
2018-02-28,56,72
2018-11-01,43,64
2018-11-02,60,64
2018-11-03,42,68
2018-11-04,2,9
2018-11-19,26,50
2018-11-20,21,34
2018-11-21,14,37
2018-11-22,4,23
2018-11-23,4,41
2018-11-24,35,55
2018-11-25,21,34
2018-11-26,4,24
2018-11-27,26,42
2018-11-28,29,50
2018-11-29,41,59
2018-11-30,51,68
2018-12-01,45,61
2018-12-02,51,63
2018-12-03,57,85
2018-12-04,55,61
2018-12-05,23,29
2018-12-06,49,61
2018-12-07,60,78
2018-12-08,72,75
2018-12-09,78,88
2018-12-10,47,71
2018-12-11,13,42
2018-12-12,31,57
2018-12-13,20,33
2018-12-14,28,47
2018-12-15,30,45
2018-12-16,48,65
2018-12-17,49,67
2018-12-20,50,69
2018-12-21,60,68
2018-12-22,60,69
2018-12-23,47,60
2018-12-24,55,68
2018-12-25,42,62
2018-12-26,8,21
2018-12-27,3,11
2018-12-28,4,29
2018-12-29,12,16
2018-12-30,35,32
2018-12-31,39,43
2019-01-01,59,61
2019-01-02,61,75
2019-01-03,53,64
2019-01-04,44,67
2019-01-05,44,53
2019-01-06,46,50
2019-01-07,41,48
2019-01-08,50,66
2019-01-09,55,70
2019-01-10,45,56
2019-01-14,60,69
2019-01-15,45,76
2019-01-17,50,73
2019-01-18,37,63
2019-01-19,29,43
2019-01-20,35,41
2019-01-21,11,33
2019-01-22,25,56
2019-01-23,47,58
2019-01-24,26,47
2019-01-25,16,45
2019-01-26,50,70
2019-01-29,37,73
2019-01-30,61,78
2019-01-31,43,74
2019-02-01,37,66
2019-02-02,50,60
2019-02-03,48,62
2019-02-04,39,50
2019-02-05,43,71
2019-02-06,47,46
2019-02-07,58,76
2019-02-14,17,75
2019-02-15,21,77
2019-02-16,61,86
2019-02-17,62,88
2019-02-18,60,90
2019-02-19,45,77
2019-02-20,61,84
2019-02-21,25,82
2019-02-22,31,87
2019-02-23,51,60
2019-02-24,51,78
2019-02-25,3,50
